hypothesis,family,effect,evaluation,proposed_method,baseline_method,paired_replicates,estimand,support_direction,mean_delay_difference_cycles,descriptive_bootstrap_ci95_low_cycles,descriptive_bootstrap_ci95_high_cycles,descriptive_bootstrap_inferential_status,simultaneous_method,simultaneous_familywise_confidence,simultaneous_upper_cycles,delay_bound_horizon_cycles,raw_one_sided_hoeffding_p,inference_assumptions,bootstrap_resamples,arl_requirement_met_by_design,arl_basis,holm_adjusted_one_sided_p,statistical_criteria_pass,comparison_supported_for_hypothesis,overall_two_hypothesis_comparison_supported,scope_statement
spatial@0.55,spatial,0.55,restart_at_change,vAOC / same-feature Hotelling,validation-trained linear logistic effect,32,"mean delay(proposed)-mean delay(baseline), cycles",negative,6.59375,2.99921875,10.12578125,Descriptive only; not used for the comparator decision.,Bonferroni-Hoeffding one-sided upper confidence bounds,0.95,190.97572593342477,384.0,1.0,"Conditional on the frozen auxiliary fits, paired test streams are independent across replicates; both restricted delays lie in [0,H], so their difference lies in [-H,H]. No symmetry or parametric assumption.",1000,True,Both effects are fixed/predictable simplex effects centered at the analytic null; the family threshold in detector updates maps exactly to target ARL cycles.,1.0,False,False,False,Support is limited to vAOC versus the named predeclared logistic comparator on these two controlled tasks.
temporal@0.75,temporal,0.75,restart_at_change,vAOC / same-feature Hotelling,validation-trained linear logistic effect,32,"mean delay(proposed)-mean delay(baseline), cycles",negative,-0.3125,-9.8765625,10.25,Descriptive only; not used for the comparator decision.,Bonferroni-Hoeffding one-sided upper confidence bounds,0.95,184.06947593342477,384.0,0.999989403674848,"Conditional on the frozen auxiliary fits, paired test streams are independent across replicates; both restricted delays lie in [0,H], so their difference lies in [-H,H]. No symmetry or parametric assumption.",1000,True,Both effects are fixed/predictable simplex effects centered at the analytic null; the family threshold in detector updates maps exactly to target ARL cycles.,1.0,False,False,False,Support is limited to vAOC versus the named predeclared logistic comparator on these two controlled tasks.
