family,effect,replicate,seed,stream_type,evaluation,method,alarm_time,false_alarm,conditional_eligible,post_change_detected,censored,run_length_units,run_length_cycles,restricted_delay_units,time_unit_cycles,restricted_delay_cycles,restriction_horizon_units,restriction_horizon_cycles,threshold
spatial,0.55,5,60000005,no_change,null_arl,validation-trained linear logistic effect,219,True,True,False,False,219,219,,1,,1000,1000,200.0
spatial,0.55,6,60000006,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,6,60000006,no_change,null_arl,raw symmetry-resolved AOC,231,True,True,False,False,231,231,,1,,1000,1000,200.0
spatial,0.55,6,60000006,no_change,null_arl,vAOC / same-feature Hotelling,214,True,True,False,False,214,214,,1,,1000,1000,200.0
spatial,0.55,6,60000006,no_change,null_arl,matched correlation witness,192,True,True,False,False,192,192,,1,,1000,1000,200.0
spatial,0.55,6,60000006,no_change,null_arl,exact one-cycle likelihood grid SR,125,True,True,False,False,125,125,,1,,1000,1000,200.0
spatial,0.55,6,60000006,no_change,null_arl,known-post one-cycle likelihood SR,125,True,True,False,False,125,125,,1,,1000,1000,200.0
spatial,0.55,6,60000006,no_change,null_arl,validation-trained linear logistic effect,198,True,True,False,False,198,198,,1,,1000,1000,200.0
spatial,0.55,7,60000007,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,7,60000007,no_change,null_arl,raw symmetry-resolved AOC,154,True,True,False,False,154,154,,1,,1000,1000,200.0
spatial,0.55,7,60000007,no_change,null_arl,vAOC / same-feature Hotelling,190,True,True,False,False,190,190,,1,,1000,1000,200.0
spatial,0.55,7,60000007,no_change,null_arl,matched correlation witness,232,True,True,False,False,232,232,,1,,1000,1000,200.0
spatial,0.55,7,60000007,no_change,null_arl,exact one-cycle likelihood grid SR,293,True,True,False,False,293,293,,1,,1000,1000,200.0
spatial,0.55,7,60000007,no_change,null_arl,known-post one-cycle likelihood SR,293,True,True,False,False,293,293,,1,,1000,1000,200.0
spatial,0.55,7,60000007,no_change,null_arl,validation-trained linear logistic effect,237,True,True,False,False,237,237,,1,,1000,1000,200.0
spatial,0.55,8,60000008,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,8,60000008,no_change,null_arl,raw symmetry-resolved AOC,241,True,True,False,False,241,241,,1,,1000,1000,200.0
spatial,0.55,8,60000008,no_change,null_arl,vAOC / same-feature Hotelling,217,True,True,False,False,217,217,,1,,1000,1000,200.0
spatial,0.55,8,60000008,no_change,null_arl,matched correlation witness,226,True,True,False,False,226,226,,1,,1000,1000,200.0
spatial,0.55,8,60000008,no_change,null_arl,exact one-cycle likelihood grid SR,360,True,True,False,False,360,360,,1,,1000,1000,200.0
spatial,0.55,8,60000008,no_change,null_arl,known-post one-cycle likelihood SR,360,True,True,False,False,360,360,,1,,1000,1000,200.0
spatial,0.55,8,60000008,no_change,null_arl,validation-trained linear logistic effect,220,True,True,False,False,220,220,,1,,1000,1000,200.0
spatial,0.55,9,60000009,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,9,60000009,no_change,null_arl,raw symmetry-resolved AOC,183,True,True,False,False,183,183,,1,,1000,1000,200.0
spatial,0.55,9,60000009,no_change,null_arl,vAOC / same-feature Hotelling,204,True,True,False,False,204,204,,1,,1000,1000,200.0
spatial,0.55,9,60000009,no_change,null_arl,matched correlation witness,180,True,True,False,False,180,180,,1,,1000,1000,200.0
spatial,0.55,9,60000009,no_change,null_arl,exact one-cycle likelihood grid SR,179,True,True,False,False,179,179,,1,,1000,1000,200.0
spatial,0.55,9,60000009,no_change,null_arl,known-post one-cycle likelihood SR,179,True,True,False,False,179,179,,1,,1000,1000,200.0
