seed,state,shots,shot_probability,analytic_probability,absolute_error,qubits,circuit_depth,transpiled_depth,transpiled_size
0,D,16384,0.95001220703125,0.9499999999999997,1.2207031250266454e-05,1,2,2,2
0,A,16384,0.05029296875,0.04999999999999998,0.00029296875000001804,1,2,2,2
1,D,16384,0.9517822265625,0.9499999999999997,0.0017822265625002665,1,2,2,2
1,A,16384,0.05145263671875,0.04999999999999998,0.001452636718750018,1,2,2,2
2,D,16384,0.9515380859375,0.9499999999999997,0.0015380859375002665,1,2,2,2
2,A,16384,0.05047607421875,0.04999999999999998,0.00047607421875001804,1,2,2,2
3,D,16384,0.947998046875,0.9499999999999997,0.0020019531249997335,1,2,2,2
3,A,16384,0.05230712890625,0.04999999999999998,0.002307128906250018,1,2,2,2
4,D,16384,0.947998046875,0.9499999999999997,0.0020019531249997335,1,2,2,2
4,A,16384,0.05010986328125,0.04999999999999998,0.00010986328125001804,1,2,2,2
5,D,16384,0.94952392578125,0.9499999999999997,0.00047607421874973355,1,2,2,2
5,A,16384,0.049072265625,0.04999999999999998,0.000927734374999982,1,2,2,2
6,D,16384,0.95294189453125,0.9499999999999997,0.0029418945312502665,1,2,2,2
6,A,16384,0.04949951171875,0.04999999999999998,0.000500488281249982,1,2,2,2
7,D,16384,0.951171875,0.9499999999999997,0.0011718750000002665,1,2,2,2
7,A,16384,0.0509033203125,0.04999999999999998,0.000903320312500018,1,2,2,2
8,D,16384,0.9501953125,0.9499999999999997,0.00019531250000026645,1,2,2,2
8,A,16384,0.0479736328125,0.04999999999999998,0.002026367187499982,1,2,2,2
9,D,16384,0.94696044921875,0.9499999999999997,0.0030395507812497335,1,2,2,2
9,A,16384,0.049560546875,0.04999999999999998,0.00043945312499998196,1,2,2,2
10,D,16384,0.94976806640625,0.9499999999999997,0.00023193359374973355,1,2,2,2
10,A,16384,0.05096435546875,0.04999999999999998,0.000964355468750018,1,2,2,2
11,D,16384,0.94818115234375,0.9499999999999997,0.0018188476562497335,1,2,2,2
11,A,16384,0.04913330078125,0.04999999999999998,0.000866699218749982,1,2,2,2
12,D,16384,0.95263671875,0.9499999999999997,0.0026367187500002665,1,2,2,2
12,A,16384,0.05035400390625,0.04999999999999998,0.00035400390625001804,1,2,2,2
13,D,16384,0.951171875,0.9499999999999997,0.0011718750000002665,1,2,2,2
13,A,16384,0.0531005859375,0.04999999999999998,0.003100585937500018,1,2,2,2
14,D,16384,0.9503173828125,0.9499999999999997,0.00031738281250026645,1,2,2,2
14,A,16384,0.0478515625,0.04999999999999998,0.002148437499999982,1,2,2,2
15,D,16384,0.953125,0.9499999999999997,0.0031250000000002665,1,2,2,2
15,A,16384,0.0501708984375,0.04999999999999998,0.00017089843750001804,1,2,2,2
16,D,16384,0.95098876953125,0.9499999999999997,0.0009887695312502665,1,2,2,2
16,A,16384,0.05126953125,0.04999999999999998,0.001269531250000018,1,2,2,2
17,D,16384,0.9500732421875,0.9499999999999997,7.324218750026645e-05,1,2,2,2
17,A,16384,0.05084228515625,0.04999999999999998,0.000842285156250018,1,2,2,2
18,D,16384,0.94915771484375,0.9499999999999997,0.0008422851562497335,1,2,2,2
18,A,16384,0.0498046875,0.04999999999999998,0.00019531249999998196,1,2,2,2
19,D,16384,0.94818115234375,0.9499999999999997,0.0018188476562497335,1,2,2,2
19,A,16384,0.0482177734375,0.04999999999999998,0.001782226562499982,1,2,2,2
