bond_alternation,one_body_trace_distance,positive_attachment_weight,negative_detachment_weight,positive_orbital_count
0.0,2.3352686248998323e-16,0.0,2.0577128687435432e-16,0
0.02,0.01519922551941464,0.01519922551941462,0.015199225519414647,4
0.04,0.030293392075546932,0.030293392075546953,0.03029339207554689,4
0.06,0.04518238156406569,0.04518238156406579,0.04518238156406555,4
0.08,0.05977539456961238,0.059775394569612395,0.0597753945696123,4
0.1,0.07399431715600809,0.0739943171560081,0.07399431715600809,4
0.12,0.08777582247135182,0.08777582247135168,0.0877758224713519,4
0.14,0.10107216932470497,0.10107216932470495,0.10107216932470497,4
0.16,0.11385084463091598,0.11385084463091588,0.11385084463091608,4
0.18,0.126093315833609,0.12609331583360903,0.126093315833609,4
0.2,0.13779320496514866,0.1377932049651487,0.1377932049651486,4
0.22,0.14895418037516744,0.14895418037516744,0.14895418037516744,4
0.24,0.1595878079908349,0.15958780799083494,0.15958780799083486,4
0.26,0.16971153421974527,0.16971153421974527,0.16971153421974527,4
0.28,0.17934690461848013,0.17934690461848007,0.17934690461848013,4
0.3,0.18851806620189546,0.1885180662018955,0.18851806620189532,4
0.32,0.1972505603770695,0.19725056037706942,0.19725056037706956,4
0.34,0.20557038734681937,0.2055703873468195,0.2055703873468192,4
0.36,0.21350330870809242,0.21350330870809242,0.21350330870809242,4
0.38,0.22107434953315722,0.22107434953315713,0.22107434953315733,4
0.4,0.22830746140177777,0.22830746140177763,0.2283074614017779,4
0.42,0.2352253112312752,0.23522531123127513,0.23522531123127524,4
0.44,0.2418491656148932,0.2418491656148931,0.24184916561489322,4
0.46,0.24819884562373573,0.24819884562373573,0.24819884562373568,4
0.48,0.25429273201385155,0.2542927320138514,0.2542927320138516,4
0.5,0.26014780518821495,0.2601478051882149,0.260147805188215,4
0.52,0.2657797079776714,0.2657797079776714,0.2657797079776715,4
0.54,0.2712028223283794,0.2712028223283793,0.27120282232837944,4
0.56,0.2764303533802549,0.2764303533802548,0.276430353380255,4
0.58,0.2814744162812475,0.2814744162812473,0.28147441628124753,4
0.6,0.2863461225002308,0.28634612250023067,0.2863461225002308,4
0.62,0.2910556634646678,0.29105566346466777,0.2910556634646677,4
0.64,0.2956123901343811,0.2956123901343811,0.2956123901343811,4
0.66,0.30002488769336577,0.3000248876933659,0.30002488769336566,4
0.68,0.3043010449490444,0.3043010449490444,0.3043010449490443,4
0.7,0.3084481183133676,0.30844811831336755,0.3084481183133676,4
