orbital,difference_occupation,site,probability,amplitude
0,0.10760802004926892,0,0.18335320102237118,-0.4281976191227261
0,0.10760802004926892,1,0.138165237460184,-0.3717058480306491
0,0.10760802004926892,2,0.17830068578602354,0.42225665866392625
0,0.10760802004926892,3,0.02388698853707862,0.15455416052982404
0,0.10760802004926892,4,0.06503928413581701,-0.25502800657146857
0,0.10760802004926892,5,0.014794334469620514,0.12163196319068649
0,0.10760802004926892,6,9.240353888428266e-05,-0.009612675948157342
0,0.10760802004926892,7,0.12345301413109135,-0.3513588110907301
0,0.10760802004926892,8,0.07321442551690459,0.27058164297842635
0,0.10760802004926892,9,0.1997004254020257,0.44687853540086897
1,0.10760802004926888,0,0.01664679897762924,-0.12902247469967873
1,0.10760802004926888,1,0.06183476253981615,0.24866596578505903
1,0.10760802004926888,2,0.021699314213976886,-0.14730687089873604
1,0.10760802004926888,3,0.17611301146292155,-0.41965820790605485
1,0.10760802004926888,4,0.1349607158641829,0.36736999859022634
1,0.10760802004926888,5,0.18520566553037937,0.4303552782648069
1,0.10760802004926888,6,0.19990759646111556,-0.44711027326725067
1,0.10760802004926888,7,0.07654698586890851,-0.27667125956432215
1,0.10760802004926888,8,0.12678557448309527,0.3560696202754389
1,0.10760802004926888,9,0.00029957459797432207,0.0173082234205109
2,0.046616039107414915,0,0.19198074205697996,0.4381560704326484
2,0.046616039107414915,1,0.0627742477964956,0.2505478952146587
2,0.046616039107414915,2,0.002523079673171652,0.05023026650508289
2,0.046616039107414915,3,0.18467034839590846,0.42973288028251744
2,0.046616039107414915,4,0.16574022815049372,-0.4071120584685422
2,0.046616039107414915,5,0.0002262506596302627,0.015041630883327203
2,0.046616039107414915,6,0.09110699675115681,-0.3018393558685759
2,0.046616039107414915,7,0.17676696922182297,-0.42043664115039137
2,0.046616039107414915,8,0.04864895336819803,0.22056507739938802
2,0.046616039107414915,9,0.07556218392614351,-0.27488576523011066
3,0.046616039107414874,0,0.008019257943019909,-0.0895503095640652
3,0.046616039107414874,1,0.13722575220350514,0.3704399441252322
3,0.046616039107414874,2,0.1974769203268281,-0.4443837534460819
3,0.046616039107414874,3,0.015329651604091851,-0.1238129702579332
3,0.046616039107414874,4,0.03425977184950619,-0.1850939541138667
3,0.046616039107414874,5,0.19977374934036962,-0.4469605679927141
3,0.046616039107414874,6,0.10889300324884352,0.32998939869159966
3,0.046616039107414874,7,0.023233030778177278,-0.15242385239252182
3,0.046616039107414874,8,0.1513510466318025,0.3890386184324154
3,0.046616039107414874,9,0.12443781607385702,0.3527574465179396
4,8.633931978001327e-17,0,0.0008540068652821285,-0.029223395854727913
4,8.633931978001327e-17,1,0.1991459931347183,0.4462577653494876
4,8.633931978001327e-17,2,0.0008540068652820479,-0.029223395854726532
4,8.633931978001327e-17,3,0.19914599313471773,0.4462577653494869
4,8.633931978001327e-17,4,0.0008540068652820675,-0.02922339585472687
4,8.633931978001327e-17,5,0.1991459931347178,0.446257765349487
4,8.633931978001327e-17,6,0.0008540068652821677,-0.029223395854728582
4,8.633931978001327e-17,7,0.19914599313471826,0.4462577653494875
4,8.633931978001327e-17,8,0.0008540068652821868,-0.02922339585472891
4,8.633931978001327e-17,9,0.19914599313471798,0.4462577653494872
5,-8.549264575664533e-17,0,0.19914599313471762,0.4462577653494868
5,-8.549264575664533e-17,1,0.0008540068652821143,0.02922339585472767
5,-8.549264575664533e-17,2,0.1991459931347187,0.446257765349488
5,-8.549264575664533e-17,3,0.0008540068652820876,0.029223395854727212
5,-8.549264575664533e-17,4,0.1991459931347187,0.446257765349488
5,-8.549264575664533e-17,5,0.0008540068652821115,0.02922339585472762
5,-8.549264575664533e-17,6,0.19914599313471762,0.4462577653494868
5,-8.549264575664533e-17,7,0.0008540068652821504,0.029223395854728287
5,-8.549264575664533e-17,8,0.19914599313471776,0.44625776534948697
5,-8.549264575664533e-17,9,0.0008540068652821265,0.029223395854727878
6,-0.04661603910741486,0,0.1993936615048745,-0.4465351738719745
6,-0.04661603910741486,1,0.0375516721228728,0.1937825382300294
6,-0.04661603910741486,2,0.0131258718302021,-0.11456819728965845
6,-0.04661603910741486,3,0.196430030737407,0.4432042765333013
6,-0.04661603910741486,4,0.1411716306168731,0.37572813391716237
6,-0.04661603910741486,5,0.006421260607805649,0.08013276862685857
6,-0.04661603910741486,6,0.12025703045944168,0.346780954580037
6,-0.04661603910741486,7,0.15498355022353222,-0.39367950190927165
6,-0.04661603910741486,8,0.026051805588608593,-0.16140571733556588
6,-0.04661603910741486,9,0.10461348630838249,-0.3234400814809174
7,-0.0466160391074149,0,0.0006063384951252909,-0.02462394150263704
7,-0.0466160391074149,1,0.16244832787712646,-0.4030487909386734
7,-0.0466160391074149,2,0.18687412816979787,-0.4322894032587404
7,-0.0466160391074149,3,0.0035699692625930676,0.05974921976555901
7,-0.0466160391074149,4,0.05882836938312704,-0.24254560268767406
7,-0.0466160391074149,5,0.19357873939219522,0.4399758395550774
7,-0.0466160391074149,6,0.07974296954055862,0.28238797697593043
7,-0.0466160391074149,7,0.0450164497764683,0.21217080330825044
7,-0.0466160391074149,8,0.17394819441139214,0.4170709704731224
7,-0.0466160391074149,9,0.09538651369161721,-0.3088470716902092
8,-0.10760802004926885,0,0.10936507409692608,0.3307039069876951
8,-0.10760802004926885,1,0.0004991295141485402,0.022341206640388522
8,-0.10760802004926885,2,0.008206294122599017,-0.09058859819314469
8,-0.10760802004926885,3,0.07874295822737334,-0.28061175710823905
8,-0.10760802004926885,4,0.033903295717529286,-0.18412847611797933
8,-0.10760802004926885,5,0.18636329617009237,0.4316981540035727
8,-0.10760802004926885,6,0.15094369608648367,0.38851473084875904
8,-0.10760802004926885,7,0.17463249418621696,-0.417890528950127
8,-0.10760802004926885,8,0.19758163997646222,-0.44450156352532916
8,-0.10760802004926885,9,0.05976212190216916,0.24446292541440545
9,-0.1076080200492689,0,0.0906349259030741,-0.3010563500460904
9,-0.1076080200492689,1,0.19950087048585172,0.4466552031330786
9,-0.1076080200492689,2,0.1917937058774012,0.4379425828546491
9,-0.1076080200492689,3,0.12125704177262683,-0.3482198181790158
9,-0.1076080200492689,4,0.16609670428247064,-0.40754963413364836
9,-0.1076080200492689,5,0.013636703829908028,0.11677629823687694
9,-0.1076080200492689,6,0.04905630391351649,0.22148657727617826
9,-0.1076080200492689,7,0.025367505813783033,0.15927179855135382
9,-0.1076080200492689,8,0.0024183600235375543,0.04917682404891103
9,-0.1076080200492689,9,0.140237878097831,-0.37448348174229396
