family,dimension,seed,strength,commutator,offdiagonal_residual,deca_success,pgm_success,oracle_success,oracle_gap,gap_bound,bound_slack,jacobi_sweeps
noncommuting_sweep,4,0,0.0,1.636741347362259e-17,1.8983886652609742e-16,0.6948057874698752,0.5953398153316389,0.6948057842247719,-3.245103297189189e-09,3.7967773305219485e-16,3.245103676866922e-09,1
noncommuting_sweep,4,0,0.125,0.031450785411950156,0.10667971475982463,0.6775593601179152,0.5901711337634072,0.6775593549139968,-5.203918407303831e-09,0.21335942951964926,0.21335943472356766,8
noncommuting_sweep,4,0,0.25,0.044599136031461074,0.18182198056362922,0.6577995903925371,0.5845308633708299,0.6581313597873957,0.00033176939485857204,0.36364396112725844,0.36331219173239987,12
noncommuting_sweep,4,0,0.375,0.03408632703403949,0.12764861672055097,0.6865586684753348,0.5850160586853197,0.6865586559893788,-1.2485955935837012e-08,0.25529723344110195,0.2552972459270579,6
noncommuting_sweep,4,0,0.5,0.022538111097921604,0.1019181958874612,0.6862847578074244,0.5821738233341351,0.6862847469016625,-1.0905761849144824e-08,0.2038363917749224,0.20383640268068426,6
noncommuting_sweep,4,0,0.625,0.03458680370277125,0.17388957304734667,0.6646953861511757,0.5784354330629223,0.6648027893297507,0.00010740317857493853,0.34777914609469335,0.3476717429161184,7
noncommuting_sweep,4,0,0.75,0.03685664222201146,0.17544831672469743,0.6902690527936028,0.5877146137099176,0.6902690367134663,-1.6080136555629565e-08,0.35089663344939487,0.3508966495295314,8
noncommuting_sweep,4,0,0.875,0.02786598226690591,0.1598397170366089,0.6985217960780166,0.5966182188458531,0.6985217948590399,-1.2189766973591531e-09,0.3196794340732178,0.3196794352921945,8
noncommuting_sweep,4,0,1.0,0.029162078416266175,0.173836232424601,0.6750801787635642,0.5854957926818442,0.6750801773779089,-1.3856552572022451e-09,0.347672464849202,0.34767246623485726,8
noncommuting_sweep,4,1,0.0,1.1735778396458083e-17,1.2307877640423682e-16,0.7651007836662854,0.6348160560073943,0.7651007790945356,-4.5717498675657e-09,2.4615755280847364e-16,4.571750113723252e-09,1
noncommuting_sweep,4,1,0.125,0.010843198904523198,0.039124292111829585,0.7613199966978509,0.6314746915294313,0.7613199911957496,-5.502101330101539e-09,0.07824858422365917,0.0782485897257605,4
noncommuting_sweep,4,1,0.25,0.02059846596340528,0.0769979040408826,0.749323421878649,0.6209711641862099,0.7493234143797441,-7.498904830427477e-09,0.1539958080817652,0.15399581558067002,4
