field_midpoint,ground_energy_left,trace_distance,trace_distance_susceptibility,even_trace_norm,odd_trace_norm,parity_commutator_error
0.3625,-10.308675029468747,0.01500490774337824,0.6001963097351296,0.0159200316219896,0.014089783864766767,3.544172406167129e-09
0.3875,-10.35477700807547,0.015175493950027815,0.6070197580011125,0.016301082675413518,0.014049905224642105,3.5281682735638817e-10
0.41250000000000003,-10.40418891533828,0.015367595081597242,0.6147038032638896,0.016735503055214283,0.013999687107980191,9.750778233271478e-10
0.43750000000000006,-10.456941010327945,0.015585341757389513,0.6234136702955805,0.017230100014561107,0.013940583500217915,1.5783762558947373e-10
0.4625000000000001,-10.513067483472907,0.01583413703277143,0.6333654813108571,0.017792859943472163,0.013875414122070702,6.088500477656071e-11
0.4875000000000001,-10.57260716648969,0.01612096408528886,0.6448385634115544,0.018433080431055952,0.013808847739521754,1.3863190130235607e-11
0.5125000000000002,-10.63560440934795,0.01645472850998389,0.6581891403993556,0.019161452342014225,0.013748004677953552,8.783957020474217e-11
0.5375000000000001,-10.70211014587709,0.016846613833897434,0.6738645533558973,0.019990055503943557,0.013703172163851312,6.176768354428821e-11
0.5625000000000002,-10.772183164503328,0.01731040125206797,0.6924160500827188,0.020932218176569036,0.013688584327566897,4.517105373692515e-12
0.5875000000000001,-10.84589159055172,0.01786265666962178,0.7145062667848712,0.022002173481607608,0.013723139857635926,7.87479936246396e-12
0.6125000000000003,-10.923314569220246,0.01852261516157459,0.7409046064629835,0.023214425367335735,0.013830804955813422,5.486017681503383e-13
0.6375000000000002,-11.004544110620097,0.019311502396148286,0.7724600958459313,0.024582713877823292,0.014040290914473268,6.19697705227319e-13
0.6625000000000003,-11.089687016293224,0.020250959880256242,0.8100383952102497,0.02611844912608391,0.014383470634428575,1.5387636665215563e-12
0.6875000000000002,-11.178866746083774,0.021360258362799714,0.8544103345119886,0.027828476358403194,0.01489204036719622,3.3095582400940785e-12
0.7125000000000004,-11.272225001549629,0.022652172343350874,0.906086893734035,0.02971206223927223,0.015592282447429516,9.167190253588847e-13
0.7375000000000003,-11.36992269665308,0.02412775921654032,0.9651103686616127,0.03175709152748778,0.01649842690559285,3.4014766800640913e-12
0.7625000000000004,-11.472139864780758,0.02577072795824096,1.0308291183296383,0.03393569870380172,0.0176057572126802,1.2595022805214284e-13
0.7875000000000003,-11.579073932980783,0.027542617040331695,1.1017046816132676,0.036200346515800404,0.018884887564862958,1.4329704369834376e-12
0.8125000000000004,-11.690935719640814,0.029380943214599164,1.1752377285839666,0.03848337321391087,0.02027851321528745,2.2337596871630117e-12
0.8375000000000004,-11.807942544699454,0.031193738525682413,1.2477495410272965,0.04068573351248024,0.021701743538884585,8.416454513932627e-13
0.8625000000000005,-11.930308062696232,0.03286732422188503,1.314692968875401,0.04268756159178987,0.023047086851980148,5.691111775283954e-13
0.8875000000000004,-12.058228907502702,0.03427740370276032,1.3710961481104127,0.04435990523120284,0.024194902174317804,1.259262419557335e-11
0.9125000000000005,-12.191868976216126,0.03530367550263386,1.4121470201053543,0.045578671626024074,0.025028679379243628,1.2559486864499546e-11
0.9375000000000004,-12.331343051643676,0.03584789923877147,1.4339159695508588,0.04624389924050975,0.025451899237033154,2.7756520367072065e-13
0.9625000000000006,-12.476702187356327,0.03585128936970468,1.434051574788187,0.046298000898653116,0.025404577840756223,2.008681061897235e-13
0.9875000000000005,-12.627923496664337,0.03530643214318818,1.4122572857275273,0.045737245257364244,0.024875619029012128,2.8318257342465273e-13
1.0125000000000006,-12.784906442999318,0.03425812140293928,1.3703248561175712,0.044612500667475886,0.023903742138402653,2.633069980334413e-13
1.0375000000000005,-12.947476474586294,0.032792965584266115,1.3117186233706446,0.04301844765803265,0.022567483510499524,1.3293518811325674e-13
