problem,measurement,analytic_success,shot_success,tv_error,ancillas,depth
binary_helstrom,ancilla_free_pvm,0.9434391809469812,0.9437408447265625,0.0013566995778222719,0,2
trine,ancilla_free_pvm,0.6220084679281467,0.62127685546875,0.002360026041666861,0,2
trine,naimark_optimal_povm,0.6666666657638479,0.6684773763020834,0.004170735677083305,2,3
