size,temperature,mean_score,standard_error
8,1.5,0.9699671401962743,0.0032426768009893372
8,1.625,0.9563551234101904,0.0027861489056367973
8,1.75,0.9275390342762094,0.004704103214499404
8,1.875,0.9056199358991606,0.004663761253811481
8,2.0,0.8301816658959007,0.008237987939963491
8,2.125,0.774099390287993,0.009450519199689703
8,2.25,0.6963614161582751,0.011559215059436516
8,2.375,0.5336323191506308,0.01401700215512978
8,2.5,0.42228324895291025,0.014312655003892356
8,2.625,0.327629236365387,0.013094837021421094
8,2.75,0.265562716959499,0.012100527680194942
8,2.875,0.17590129171726207,0.008950396120225084
8,3.0,0.16871902631896923,0.009169523538183195
8,3.125,0.14032720730315762,0.008372939948431166
8,3.25,0.11921457162852037,0.006306229124079521
8,3.375,0.09215730259173509,0.005367306494708002
8,3.5,0.0823907642632306,0.004617238822848375
12,1.5,0.976230044936476,0.0014299083555303536
12,1.625,0.9602665915215709,0.001812450399465438
12,1.75,0.9417110130276043,0.00269196174320174
12,1.875,0.9086367163308574,0.003453128448781552
12,2.0,0.8430170210992753,0.006084886679820768
12,2.125,0.7577239535514777,0.009357573057516966
12,2.25,0.6660911397276912,0.010155327731454307
12,2.375,0.48275976847784074,0.011272189426813215
12,2.5,0.35934590415861073,0.01113047190408053
12,2.625,0.24798228771830708,0.008886862293911973
12,2.75,0.20590247472075426,0.00620463387563236
12,2.875,0.1755429511039889,0.005144618944273852
12,3.0,0.16962654492848123,0.004531004951445311
12,3.125,0.15546834501724846,0.00418451541255236
12,3.25,0.15600025576450038,0.004218082695643893
12,3.375,0.14221325592505746,0.003407115002228075
12,3.5,0.14443918953400142,0.0033281846378918198
16,1.5,0.9825733132848629,0.0008128913469668148
16,1.625,0.9693164905893691,0.0011577834197221833
16,1.75,0.9566346716178197,0.0015973770024278141
16,1.875,0.9354395373445066,0.001997135332781233
16,2.0,0.8863287874721769,0.003993087632978341
16,2.125,0.8188852690532571,0.005799310505858276
16,2.25,0.6984949241551063,0.009041972912449181
16,2.375,0.5426605414844797,0.009913826679038906
16,2.5,0.3995342101796777,0.007991582312169492
16,2.625,0.3422773609548058,0.005138198245097851
16,2.75,0.32778738490374687,0.004224580492387634
16,2.875,0.3135416591294773,0.003403035965293152
16,3.0,0.31864941550932935,0.0025132076174380438
16,3.125,0.31323527926771705,0.002477706357826002
16,3.25,0.3078960914979975,0.0023239211628639715
16,3.375,0.31665533581091093,0.0024514765264881016
16,3.5,0.3230608889284583,0.002182071066462946
