repetition,effect_rank,trace_distance,leading_uniform_overlap
0,38,0.9190040353239378,0.9990479439264545
1,37,0.9293769114090866,0.999340529304779
2,37,0.9312009415939642,0.9989737214334095
3,38,0.9315949940702882,0.999124057958622
4,37,0.9246142274632074,0.9991352575845881
5,36,0.9253808600132941,0.9994172251439118
6,37,0.9254348888427161,0.9991061753702585
7,37,0.9348916337256599,0.999271565870183
8,38,0.9223020020317054,0.9990359174045143
9,38,0.9161666842443004,0.9987425242228721
