scenario,effect,split,feature_family,feature_label,windows,cycles_per_window,feature_dimension,extraction_seconds,seconds_per_1000_windows
temporal,0.75,validation,translation,Translation statistic / pair lift,800,128,9,0.0566403439734,0.0708004299668
temporal,0.75,validation,symmetry_fourier,D4 Fourier / pair lift,800,128,36,0.0871136070928,0.108892008866
temporal,0.75,test,dfr_count_sequence,DFR/count sequence,2000,128,128,0.00616389897186,0.00308194948593
temporal,0.75,test,detector_first_moment,Detector first moment,2000,128,25,0.00602144596633,0.00301072298316
temporal,0.75,test,translation,Translation statistic / pair lift,2000,128,9,0.176403739955,0.0882018699776
temporal,0.75,test,symmetry_fourier,D4 Fourier / pair lift,2000,128,36,0.259457428008,0.129728714004
temporal,0.9,train,dfr_count_sequence,DFR/count sequence,1600,128,128,0.0051539700944,0.003221231309
temporal,0.9,train,detector_first_moment,Detector first moment,1600,128,25,0.00483102095313,0.00301938809571
temporal,0.9,train,translation,Translation statistic / pair lift,1600,128,9,0.132891044021,0.0830569025129
temporal,0.9,train,symmetry_fourier,D4 Fourier / pair lift,1600,128,36,0.206137347035,0.128835841897
temporal,0.9,validation,dfr_count_sequence,DFR/count sequence,800,128,128,0.00219724397175,0.00274655496469
temporal,0.9,validation,detector_first_moment,Detector first moment,800,128,25,0.00191417208407,0.00239271510509
temporal,0.9,validation,translation,Translation statistic / pair lift,800,128,9,0.063272677944,0.0790908474301
temporal,0.9,validation,symmetry_fourier,D4 Fourier / pair lift,800,128,36,0.0949924989836,0.11874062373
temporal,0.9,test,dfr_count_sequence,DFR/count sequence,2000,128,128,0.00588315096684,0.00294157548342
temporal,0.9,test,detector_first_moment,Detector first moment,2000,128,25,0.00598888192326,0.00299444096163
temporal,0.9,test,translation,Translation statistic / pair lift,2000,128,9,0.217012761976,0.108506380988
temporal,0.9,test,symmetry_fourier,D4 Fourier / pair lift,2000,128,36,0.280884609092,0.140442304546
