scenario,effect,method_id,method_label,feature_family,estimator,feature_dimension,train_windows,validation_windows,test_windows,fixed_parameters,fit_seconds,validation_score_seconds,test_score_seconds,validation_threshold,validation_roc_auc,validation_balanced_accuracy,test_roc_auc,test_balanced_accuracy,test_true_negative,test_false_positive,test_false_negative,test_true_positive,test_true_negative_rate,test_true_positive_rate
spatial,0.65,dfr_count_sequence::linear_logistic,DFR/count sequence · Linear logistic,dfr_count_sequence,linear_logistic,64,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00230640894733,0.000309546943754,0.000418402953073,0.14814216857,0.5060125,0.52125,0.490222,0.4915,651,349,668,332,0.651,0.332
spatial,0.65,dfr_count_sequence::rbf_svm,DFR/count sequence · RBF SVM,dfr_count_sequence,rbf_svm,64,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0484533549752,0.0390508259879,0.101992861019,0.32680913625,0.51711875,0.525,0.488435,0.4925,789,211,804,196,0.789,0.196
spatial,0.65,dfr_count_sequence::positive_part_mean_direction,DFR/count sequence · Positive-part mean direction,dfr_count_sequence,positive_part_mean_direction,64,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 35, ""simplex_operator_interpretation"": false}",0.000192650011741,4.59579750896e-05,7.88340112194e-05,0.0788141391106,0.504084375,0.5175,0.4889565,0.501,493,507,491,509,0.493,0.509
spatial,0.65,dfr_count_sequence::regularized_hotelling,DFR/count sequence · Regularized Hotelling,dfr_count_sequence,regularized_hotelling,64,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 0.00012268727119837296, ""ridge_fraction"": 0.05}",0.000916589982808,5.09719830006e-05,0.000111804925837,0.193505573792,0.50614375,0.52125,0.490178,0.494,669,331,681,319,0.669,0.319
spatial,0.65,detector_first_moment::linear_logistic,Detector first moment · Linear logistic,detector_first_moment,linear_logistic,25,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00201229692902,0.000326397945173,0.000327636022121,-0.348042599137,0.50449375,0.5225,0.503551,0.502,113,887,109,891,0.113,0.891
spatial,0.65,detector_first_moment::rbf_svm,Detector first moment · RBF SVM,detector_first_moment,rbf_svm,25,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0406728300732,0.0346124520293,0.0855732189957,0.318146180502,0.5804,0.57125,0.549905,0.5305,745,255,684,316,0.745,0.316
spatial,0.65,detector_first_moment::positive_part_mean_direction,Detector first moment · Positive-part mean direction,detector_first_moment,positive_part_mean_direction,25,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 16, ""simplex_operator_interpretation"": false}",9.56919975579e-05,1.84070086107e-05,2.6004971005e-05,0.0706180167598,0.502875,0.51875,0.5001355,0.497,175,825,181,819,0.175,0.819
spatial,0.65,detector_first_moment::regularized_hotelling,Detector first moment · Regularized Hotelling,detector_first_moment,regularized_hotelling,25,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 5.660192916927409e-05, ""ridge_fraction"": 0.05}",0.00031473999843,1.41590135172e-05,2.36399937421e-05,0.134004957012,0.5048,0.52375,0.503659,0.5015,110,890,107,893,0.11,0.893
spatial,0.65,translation::linear_logistic,Translation statistic / pair lift · Linear logistic,translation,linear_logistic,3,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00181965494994,0.000199937960133,0.000146582024172,-0.134102430891,0.9880625,0.9475,0.98345,0.9395,925,75,46,954,0.925,0.954
spatial,0.65,translation::rbf_svm,Translation statistic / pair lift · RBF SVM,translation,rbf_svm,3,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.00695170497056,0.00587370898575,0.0126537529286,-0.138088268121,0.98726875,0.94375,0.982732,0.9395,928,72,49,951,0.928,0.951
