family,effect,method,mean_restart_delay_cycles,median_restart_delay_cycles,restart_delay_q1_cycles,restart_delay_q3_cycles,restart_detection_within_64_cycles_fraction,restart_detection_within_128_cycles_fraction,restart_miss_fraction,restart_replicates,restart_horizon_cycles,surveillance_prechange_false_alarm_fraction,surveillance_replicates,surveillance_conditional_mean_delay_cycles,surveillance_conditional_median_delay_cycles,surveillance_miss_fraction_among_survivors,surveillance_survivors,restricted_mean_run_length_cycles,null_censor_fraction,null_replicates,no_change_rmst_at_restart_horizon_cycles,restart_delay_reduction_vs_no_change_cycles,restart_delay_ratio_to_no_change
temporal,0.5,DFR/count exact pushforward,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,256,1024,0.0,256,744.0,744.0,0.0,256,1000.0,0.0,512,1000.0,0.0,1.0
temporal,0.5,exact pair-restricted likelihood grid SR,167.3671875,136.0,100.0,200.5,0.06640625,0.4453125,0.0,256,1024,0.11328125,256,135.9295154185022,112.0,0.0,227,1230.140625,0.013671875,512,729.98828125,562.62109375,0.22927380041417617
temporal,0.5,full-HMM block-boundary grid SR,101.8203125,92.0,59.5,128.5,0.29296875,0.75,0.0,256,1024,0.11328125,256,82.7488986784141,74.0,0.0,227,1258.234375,0.021484375,512,711.44140625,609.62109375,0.14311833919913908
temporal,0.5,known-post full-HMM block-boundary SR,104.578125,97.0,70.0,124.0,0.1953125,0.78125,0.0,256,1024,0.109375,256,77.8859649122807,71.0,0.0,228,1191.20703125,0.005859375,512,721.83203125,617.25390625,0.14487875360546354
temporal,0.5,known-post pair-restricted likelihood SR,180.9609375,155.0,118.0,214.0,0.01171875,0.328125,0.0,256,1024,0.11328125,256,125.41850220264317,106.0,0.0,227,1157.65625,0.009765625,512,730.70703125,549.74609375,0.24765183549751152
temporal,0.5,matched correlation witness,976.6484375,976.0,972.0,982.0,0.0,0.0,0.0,256,1024,0.0,256,722.4921875,722.0,0.0,256,1000.58984375,0.0,512,1000.58984375,23.94140625,0.9760727071141632
temporal,0.5,raw symmetry-resolved AOC,884.8046875,1023.0,770.0,1024.0,0.0,0.0,0.5,256,1024,0.0,256,720.171875,759.0,0.234375,256,1006.5859375,0.0,512,875.4765625,-9.328125,1.0106549111644552
temporal,0.5,vAOC / same-feature Hotelling,980.3671875,1006.0,947.5,1024.0,0.0,0.0,0.40234375,256,1024,0.0,256,753.1875,759.0,0.0,256,1007.66015625,0.0,512,980.08203125,-0.28515625,1.0002909514111142
temporal,0.5,validation-trained linear logistic effect,970.9140625,994.0,928.0,1024.0,0.0,0.0,0.390625,256,1024,0.0,256,740.3828125,739.0,0.0078125,256,1009.48046875,0.0,512,974.62109375,3.70703125,0.9961964385197773
temporal,0.75,DFR/count exact pushforward,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,256,1024,0.0,256,744.0,744.0,0.0,256,1000.0,0.0,512,1000.0,0.0,1.0
temporal,0.75,exact pair-restricted likelihood grid SR,110.9140625,100.0,72.0,140.0,0.1796875,0.6953125,0.0,256,1024,0.09765625,256,81.56709956709956,68.0,0.0,231,1203.70703125,0.0078125,512,741.4609375,630.546875,0.14958854457521573
temporal,0.75,full-HMM block-boundary grid SR,53.2421875,48.0,34.0,68.5,0.7109375,0.984375,0.0,256,1024,0.12890625,256,42.672645739910315,38.0,0.0,223,1364.4296875,0.029296875,512,747.8828125,694.640625,0.0711905483186913
temporal,0.75,known-post full-HMM block-boundary SR,51.8359375,46.0,36.0,66.0,0.74609375,0.98828125,0.0,256,1024,0.1328125,256,42.567567567567565,38.0,0.0,222,1412.97265625,0.03125,512,748.8046875,696.96875,0.06922491053449768
temporal,0.75,known-post pair-restricted likelihood SR,109.5390625,98.0,71.5,136.5,0.19140625,0.7109375,0.0,256,1024,0.10546875,256,83.38864628820961,72.0,0.0,229,1226.83203125,0.009765625,512,738.07421875,628.53515625,0.14841198854705287
temporal,0.75,matched correlation witness,963.734375,964.0,960.0,968.0,0.0,0.0,0.0,256,1024,0.0,256,710.34375,710.0,0.0,256,1001.11328125,0.0,512,1001.11328125,37.37890625,0.9626626607097567
temporal,0.75,raw symmetry-resolved AOC,862.90625,969.0,727.0,1024.0,0.0,0.0,0.453125,256,1024,0.0,256,691.8984375,704.0,0.17578125,256,992.515625,0.0,512,865.9765625,3.0703125,0.9964545085479724
temporal,0.75,vAOC / same-feature Hotelling,959.359375,990.0,914.0,1024.0,0.0,0.0,0.296875,256,1024,0.0,256,720.0859375,721.0,0.0,256,1000.89453125,0.0,512,977.86328125,18.50390625,0.9810772051627232
temporal,0.75,validation-trained linear logistic effect,968.5390625,1000.0,934.0,1024.0,0.0,0.0,0.3984375,256,1024,0.0,256,732.359375,738.0,0.0,256,1002.85546875,0.0,512,971.265625,2.7265625,0.9971927736040282
temporal,0.9,DFR/count exact pushforward,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,256,1024,0.0,256,744.0,744.0,0.0,256,1000.0,0.0,512,1000.0,0.0,1.0
temporal,0.9,exact pair-restricted likelihood grid SR,90.3125,84.0,64.0,110.0,0.2578125,0.87890625,0.0,256,1024,0.09375,256,65.68103448275862,60.0,0.0,232,1235.109375,0.015625,512,736.9140625,646.6015625,0.12255499602438379
temporal,0.9,full-HMM block-boundary grid SR,38.6484375,36.0,28.0,46.0,0.92578125,1.0,0.0,256,1024,0.1015625,256,29.37391304347826,28.0,0.0,230,1376.859375,0.029296875,512,730.015625,691.3671875,0.05294193189358105
temporal,0.9,known-post full-HMM block-boundary SR,35.1328125,32.0,26.0,42.0,0.9453125,1.0,0.0,256,1024,0.109375,256,29.30701754385965,26.0,0.0,228,1417.078125,0.03515625,512,738.8046875,703.671875,0.04755358634618842
temporal,0.9,known-post pair-restricted likelihood SR,84.8125,78.0,60.0,102.5,0.3203125,0.8984375,0.0,256,1024,0.10546875,256,64.2882096069869,58.0,0.0,229,1335.9765625,0.029296875,512,751.9453125,667.1328125,0.11279078224189343
temporal,0.9,matched correlation witness,956.7734375,956.0,952.0,962.0,0.0,0.0,0.0,256,1024,0.0,256,704.1953125,704.0,0.0,256,1000.9375,0.0,512,1000.9375,44.1640625,0.9558773025288791
temporal,0.9,raw symmetry-resolved AOC,784.7890625,801.0,611.0,1024.0,0.0,0.0,0.30078125,256,1024,0.0,256,609.890625,582.0,0.08203125,256,1057.046875,0.0,512,900.08203125,115.29296875,0.8719083764066643
temporal,0.9,vAOC / same-feature Hotelling,891.3671875,905.0,821.5,998.0,0.0,0.0,0.1796875,256,1024,0.0,256,660.7890625,665.0,0.0078125,256,1008.16796875,0.0,512,982.51171875,91.14453125,0.9072331357370896
temporal,0.9,validation-trained linear logistic effect,958.8125,988.0,912.0,1024.0,0.0,0.0,0.3515625,256,1024,0.0,256,736.203125,737.0,0.01171875,256,1010.3125,0.0,512,977.2734375,18.4609375,0.9811097521004709
