repetition,window_length,method,accuracy,roc_auc
9,16,Oracle contact screw,0.99,0.999776
9,16,Window-mean logistic,0.5,0.5
9,64,Rank-1 AOC contact witness,1.0,1.0
9,64,Oracle contact screw,1.0,1.0
9,64,Window-mean logistic,0.5,0.5
10,1,Rank-1 AOC contact witness,0.716,0.7611999999999999
10,1,Oracle contact screw,0.748,0.7957759999999999
10,1,Window-mean logistic,0.5,0.5
10,4,Rank-1 AOC contact witness,0.838,0.9107840000000001
10,4,Oracle contact screw,0.882,0.9482879999999999
10,4,Window-mean logistic,0.5,0.5
10,16,Rank-1 AOC contact witness,0.98,0.997408
10,16,Oracle contact screw,0.992,0.9996160000000001
10,16,Window-mean logistic,0.5,0.5
10,64,Rank-1 AOC contact witness,1.0,1.0
10,64,Oracle contact screw,1.0,1.0
10,64,Window-mean logistic,0.5,0.5
11,1,Rank-1 AOC contact witness,0.67,0.736096
11,1,Oracle contact screw,0.658,0.7465440000000001
11,1,Window-mean logistic,0.5,0.5
11,4,Rank-1 AOC contact witness,0.828,0.9142239999999999
11,4,Oracle contact screw,0.872,0.9404480000000002
11,4,Window-mean logistic,0.5,0.5
11,16,Rank-1 AOC contact witness,0.978,0.9980800000000001
11,16,Oracle contact screw,0.998,1.0
11,16,Window-mean logistic,0.5,0.5
11,64,Rank-1 AOC contact witness,1.0,1.0
11,64,Oracle contact screw,1.0,1.0
11,64,Window-mean logistic,0.5,0.5
