regime,time,score,contrast,e_value,anytime_p_value,alarm,witness_rank
null,1,0.0,0.0,1.0,1.0,False,0
null,2,-0.022365419991619895,0.05712303708329088,0.9961149090342782,1.0,False,1
null,3,-0.028339287619117685,0.02982357886271203,0.9908160585874225,1.0,False,1
null,4,0.013915311074959441,0.0277702638766487,0.9934977262996402,1.0,False,1
null,5,0.016904267380716306,0.02846814126752807,0.9968744985978263,1.0,False,1
null,6,0.0016628654345833827,0.0283492216325998,0.9972162097960334,1.0,False,1
null,7,0.008068779777033422,0.026670517656330626,0.998898727545456,1.0,False,1
null,8,-0.030808705142132145,0.026663571670960475,0.992378634466907,1.0,False,1
null,9,-0.01979986128956357,0.020750512143085226,0.9882264793059607,1.0,False,1
null,10,-0.0069034086906866465,0.017984180967753918,0.9867851159711803,1.0,False,1
null,11,0.010319534638923697,0.016177626798710647,0.9889433531418891,1.0,False,1
null,12,-0.003010818404523441,0.016737721984234438,0.9883071703750026,1.0,False,1
null,13,-0.012438210786952092,0.01622926839660804,0.9856731437122233,1.0,False,1
null,14,-0.00780602631891375,0.014184848115333198,0.9840259160312028,1.0,False,1
null,15,0.013057855710879682,0.013860821490865137,0.9867775703719823,1.0,False,1
null,16,-0.005285559843308946,0.014491595502638406,0.985652864719193,1.0,False,1
null,17,-0.009188506401924354,0.013560857056744277,0.9836989522816766,1.0,False,1
null,18,0.0172889823143738,0.013215585592617242,0.9873641675065966,1.0,False,1
null,19,0.006871691943870273,0.014509097762414238,0.9888374803581049,1.0,False,1
null,20,0.013227790142219767,0.015106162776960823,0.9916889365200737,1.0,False,1
null,21,0.0036008614491131324,0.015055840278935369,0.9924719794267426,1.0,False,1
null,22,-0.010872619291463756,0.014381049297984172,0.9900997729592982,1.0,False,1
null,23,0.016294857326210915,0.013702321941565156,0.9936378210353589,1.0,False,1
null,24,0.009484841134604086,0.013142903525177694,0.9957181260291201,1.0,False,1
null,25,-0.012338979575977266,0.015127168549620535,0.9929948087756387,1.0,False,1
null,26,-0.0054031401153945835,0.013957437035671824,0.9918093743977392,1.0,False,1
null,27,0.004308531704837845,0.013800209037110949,0.9927526376484805,1.0,False,1
null,28,0.001263009523748207,0.014824136141824241,0.9930300325639707,1.0,False,1
null,29,-0.00040754102791405733,0.015727989397638507,0.9929403941303633,1.0,False,1
null,30,-0.002286199451080384,0.015422067779535843,0.9924373066495363,1.0,False,1
null,31,0.020429009326731293,0.015562886186407757,0.9969300360936513,1.0,False,1
