regime,stream,alarm,alarm_time,delay,max_e_value
null,0,False,,,1.010348156352114
null,1,False,,,1.0167248729139031
null,2,False,,,1.0
null,3,False,,,1.050626673140776
null,4,False,,,1.0633658309729566
null,5,False,,,1.0568802341103694
null,6,False,,,1.0468045152226213
null,7,False,,,1.0141734386704158
null,8,False,,,1.0784542633181733
null,9,False,,,1.1333214258830728
null,10,False,,,1.0235186764108755
null,11,False,,,1.0353688821745353
null,12,False,,,1.010924384571317
null,13,False,,,1.009060986791648
null,14,False,,,1.0346136980844334
null,15,False,,,1.0720289494715722
null,16,False,,,1.0072073424667698
null,17,False,,,1.0341983295639652
null,18,False,,,1.0356967154699719
null,19,False,,,1.0099647195355574
null,20,False,,,1.040436840780075
null,21,False,,,1.0274638319404017
null,22,False,,,1.0022996170049985
null,23,False,,,1.0424564986417892
null,24,False,,,1.0015734094248088
null,25,False,,,1.0740870172480574
null,26,False,,,1.0321109269510798
null,27,False,,,1.0587890485221256
null,28,False,,,1.0456722677033183
null,29,False,,,1.01799303662441
null,30,False,,,1.0540683716018273
null,31,False,,,1.0458365967687584
null,32,False,,,1.0116698713473764
null,33,False,,,1.0
null,34,False,,,1.0577013407139062
null,35,False,,,1.1191052322697856
null,36,False,,,1.039894674655348
null,37,False,,,1.0680907459306879
null,38,False,,,1.0233123260334354
null,39,False,,,1.03676519729034
null,40,False,,,1.011644292254047
null,41,False,,,1.087189943551821
null,42,False,,,1.0295639768748175
null,43,False,,,1.0076112626892144
null,44,False,,,1.024309850503579
null,45,False,,,1.0443569977438083
null,46,False,,,1.04296963044847
null,47,False,,,1.0
null,48,False,,,1.0656905458598913
null,49,False,,,1.0416288898126769
null,50,False,,,1.0201592771143966
null,51,False,,,1.0466136164527233
null,52,False,,,1.0998200556241484
null,53,False,,,1.041855816335076
null,54,False,,,1.0209392786830993
null,55,False,,,1.1093631261129737
null,56,False,,,1.015997796665922
null,57,False,,,1.0045202659619896
null,58,False,,,1.0259305795837401
null,59,False,,,1.0440984534568059
null,60,False,,,1.0511399936498698
null,61,False,,,1.0661099100218039
null,62,False,,,1.0482455611491668
null,63,False,,,1.0
null,64,False,,,1.0094838732012072
null,65,False,,,1.0780455705194878
null,66,False,,,1.0312830516444036
null,67,False,,,1.040412079535073
null,68,False,,,1.0746931516313505
null,69,False,,,1.0147256802227436
null,70,False,,,1.00504779894141
null,71,False,,,1.057796482695942
null,72,False,,,1.1202152113074466
