observable,displacement_index,delta_row,delta_column,start_row,start_column,first_detector,second_detector,state,q,copies,method,exact_expectation,mean_estimate,bias,rmse,theoretical_estimator_standard_error
ZZ_d1_r2_c1,1,1,0,2,1,11,16,null_q035,0.35,64,native_all_z,0.72967688,0.7222900390625,-0.007386840937499972,0.0871719497641014,0.08547401385010477
ZZ_d1_r2_c2,1,1,0,2,2,12,17,null_q035,0.35,64,native_all_z,0.72967688,0.7308349609375,0.0011580809375000278,0.09024761508649425,0.08547401385010477
ZZ_d1_r2_c3,1,1,0,2,3,13,18,null_q035,0.35,64,native_all_z,0.72967688,0.7314453125,0.0017684325000000278,0.08209098032234964,0.08547401385010477
ZZ_d1_r2_c4,1,1,0,2,4,14,19,null_q035,0.35,64,native_all_z,0.72967688,0.7239990234375,-0.005677856562499972,0.08611993146308392,0.08547401385010477
ZZ_d1_r3_c0,1,1,0,3,0,15,20,null_q035,0.35,64,native_all_z,0.72967688,0.7264404296875,-0.003236450312499972,0.09297863717116034,0.08547401385010477
ZZ_d1_r3_c1,1,1,0,3,1,16,21,null_q035,0.35,64,native_all_z,0.72967688,0.7205810546875,-0.009095825312499972,0.08928600069117794,0.08547401385010477
ZZ_d1_r3_c2,1,1,0,3,2,17,22,null_q035,0.35,64,native_all_z,0.72967688,0.72021484375,-0.009462036249999972,0.08986300928081113,0.08547401385010477
ZZ_d1_r3_c3,1,1,0,3,3,18,23,null_q035,0.35,64,native_all_z,0.72967688,0.7291259765625,-0.0005509034374999722,0.08456956604746337,0.08547401385010477
ZZ_d1_r3_c4,1,1,0,3,4,19,24,null_q035,0.35,64,native_all_z,0.72967688,0.7225341796875,-0.007142700312499972,0.08731627003700411,0.08547401385010477
ZZ_d1_r4_c0,1,1,0,4,0,20,0,null_q035,0.35,64,native_all_z,0.72967688,0.7340087890625,0.004331909062500028,0.08069229251774157,0.08547401385010477
ZZ_d1_r4_c1,1,1,0,4,1,21,1,null_q035,0.35,64,native_all_z,0.72967688,0.720947265625,-0.008729614374999972,0.08744922504196734,0.08547401385010477
ZZ_d1_r4_c2,1,1,0,4,2,22,2,null_q035,0.35,64,native_all_z,0.72967688,0.7359619140625,0.006285034062500028,0.0915200064443905,0.08547401385010477
ZZ_d1_r4_c3,1,1,0,4,3,23,3,null_q035,0.35,64,native_all_z,0.72967688,0.727783203125,-0.0018936768749999722,0.08525898302820145,0.08547401385010477
ZZ_d1_r4_c4,1,1,0,4,4,24,4,null_q035,0.35,64,native_all_z,0.72967688,0.7257080078125,-0.003968872187499972,0.08342468556496042,0.08547401385010477
ZZ_d2_r0_c0,2,0,2,0,0,0,2,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7344970703125,0.018604350312500004,0.08162870586542473,0.08727628664289001
ZZ_d2_r0_c1,2,0,2,0,1,1,3,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7188720703125,0.002979350312500073,0.08367318396603556,0.08727628664289001
ZZ_d2_r0_c2,2,0,2,0,2,2,4,null_q035,0.35,64,native_all_z,0.7158927199999999,0.72314453125,0.007251811250000106,0.07920935290772738,0.08727628664289001
ZZ_d2_r0_c3,2,0,2,0,3,3,0,null_q035,0.35,64,native_all_z,0.7158927199999999,0.726806640625,0.010913920625000116,0.09281371056751746,0.08727628664289001
ZZ_d2_r0_c4,2,0,2,0,4,4,1,null_q035,0.35,64,native_all_z,0.7158927199999999,0.715087890625,-0.0008048293749998965,0.08433914392164472,0.08727628664289001
ZZ_d2_r1_c0,2,0,2,1,0,5,7,null_q035,0.35,64,native_all_z,0.7158927199999999,0.716064453125,0.0001717331250000848,0.0881315514307569,0.08727628664289001
ZZ_d2_r1_c1,2,0,2,1,1,6,8,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7218017578125,0.0059090378125000835,0.08742742099351054,0.08727628664289001
ZZ_d2_r1_c2,2,0,2,1,2,7,9,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7215576171875,0.005664897187500096,0.09025352527402476,0.08727628664289001
ZZ_d2_r1_c3,2,0,2,1,3,8,5,null_q035,0.35,64,native_all_z,0.7158927199999999,0.717529296875,0.001636576875000073,0.0895526767890952,0.08727628664289001
ZZ_d2_r1_c4,2,0,2,1,4,9,6,null_q035,0.35,64,native_all_z,0.7158927199999999,0.718994140625,0.003101420625000081,0.08134257722319166,0.08727628664289001
ZZ_d2_r2_c0,2,0,2,2,0,10,12,null_q035,0.35,64,native_all_z,0.7158927199999999,0.719482421875,0.003589701875000094,0.0958671535972679,0.08727628664289001
ZZ_d2_r2_c1,2,0,2,2,1,11,13,null_q035,0.35,64,native_all_z,0.7158927199999999,0.72412109375,0.008228373750000132,0.09127984083009322,0.08727628664289001
ZZ_d2_r2_c2,2,0,2,2,2,12,14,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7142333984375,-0.001659321562499927,0.08383376114658565,0.08727628664289001
ZZ_d2_r2_c3,2,0,2,2,3,13,10,null_q035,0.35,64,native_all_z,0.7158927199999999,0.726806640625,0.010913920625000094,0.08839286421159602,0.08727628664289001
ZZ_d2_r2_c4,2,0,2,2,4,14,11,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7161865234375,0.00029380343750008654,0.08493960696990258,0.08727628664289001
ZZ_d2_r3_c0,2,0,2,3,0,15,17,null_q035,0.35,64,native_all_z,0.7158927199999999,0.70849609375,-0.007396626249999887,0.09565885892684431,0.08727628664289001
