copy,syndrome_count,native_z_bitstring,local_pauli_bases,local_pauli_outcomes,declared_zz_observables_sampled,declared_zz_observables
50,3,0000000001001000010000000,ZZXZZYZYXYYZZXYYZXXYZYYYX,+++++-+--+++-++++++-+-+-+,14,100
51,1,0000000000000000000100000,XYZZZXYXZXYYZZYXZXYYZYXXX,--+++--+++--++-++-+-++--+,8,100
52,4,0100000000000010101000000,XXXXXYXZZYZZYXYZXZXYZYXYZ,-+--+-+++++++--++++-+--++,8,100
53,2,0000000001010000000000000,ZYXYXYYYYZYZXXXYXYYXXXYYX,++---+-+--+---+++-+-----+,0,100
54,2,0100000000000000000001000,ZZZZYYXXZXZXYYYXYYYXYXXXX,+-+++-+++++++++++---++---,8,100
55,3,0000100001000000010000000,XZZXZXXYYXYXZYZXXXYZYYYZX,-+++-----+--+-++-+-++-++-,8,100
56,2,0000000010000100000000000,YYXXXXZXYXZYYYXYXYXYXXXXZ,+-+---++++++--+--++-----+,0,100
57,1,0000000000000000100000000,ZZZZYXZXXYXZXXZYZZYXYXXXZ,++++-++--+-++-+--+-+--+++,16,100
58,2,0000100001000000000000000,XZZZZYYYYXZXXYXXZXZYYYXXZ,++++-+---++---+++++-+---+,10,100
59,0,0000000000000000000000000,ZYXYYYYZZYZYYYZYZYYYYXXXY,+-+---+++++-+++++--+---+-,3,100
60,2,0000000000000000001100000,XZXZZZXYXYZXYXYXYXYYYYYXZ,+++++++++-+-+-+++-+---+-+,5,100
61,0,0000000000000000000000000,ZYYXXYXXYZZZYXZZYXXZZXZXZ,+---+----+++--++--+++++++,19,100
62,2,0000000000100001000000000,ZZZYZZXYZXYYYZZYXXZYYYYZY,+++-++--++---++-+-+-++-+-,16,100
63,3,0000010000000000000010001,XZXXXZYZZXYZYXXYYYXXZYYZY,-+++--++++++++--++-+---+-,7,100
