state,q,copies,method,mean_rmse,standard_deviation_rmse,mean_mae,mean_maximum_absolute_error,mean_bias,rmse_ci95_half_width,copies_per_declared_observable,expected_shadow_zz_hits_per_observable
changed_q065,0.65,64,local_pauli_shadow,0.3625454098547448,0.031972772924112686,0.288506785975,1.0092579145312501,0.0010164695312500614,0.003916664683203804,64,7.111111111111111
changed_q065,0.65,64,native_all_z,0.08620502913267367,0.010639875143069667,0.06921145570625001,0.2307629325,0.0014510398437500524,0.0013033847050260342,64,7.111111111111111
changed_q065,0.65,128,local_pauli_shadow,0.2554912634620229,0.021945594925836837,0.205279214384375,0.6962740653125,-0.0031198830078124425,0.0026883353784150125,128,14.222222222222221
changed_q065,0.65,128,native_all_z,0.060860806618797766,0.007811442258881641,0.04907139554375001,0.16319516499999998,0.0006551414062500508,0.000956901676713001,128,14.222222222222221
changed_q065,0.65,256,local_pauli_shadow,0.179589874717614,0.015901947419680994,0.14379463669335937,0.4971486823046875,0.00015541606445317914,0.0019479885589109218,256,28.444444444444443
changed_q065,0.65,256,native_all_z,0.0428310603897759,0.005340177362797722,0.0345391520328125,0.11567017765624998,0.00018211894531255056,0.0006541717269427209,256,28.444444444444443
changed_q065,0.65,512,local_pauli_shadow,0.12825075787024903,0.010364568754538367,0.10262129775097656,0.35050434416015624,-0.00038222736816400965,0.00126965967243095,512,56.888888888888886
changed_q065,0.65,512,native_all_z,0.03037935778946429,0.003950374489067438,0.02436629726640625,0.0814140216015625,0.0005324607421875505,0.0004839208749107611,512,56.888888888888886
changed_q065,0.65,1024,local_pauli_shadow,0.09087728753272215,0.00772266509380925,0.0727213327397461,0.24794733954101564,-0.0005542320678710423,0.0009460264739916331,1024,113.77777777777777
changed_q065,0.65,1024,native_all_z,0.02147154925118108,0.0026670001997160463,0.017274393250781252,0.05764705986328125,0.00016823344726567545,0.00032670752446521564,1024,113.77777777777777
changed_q065,0.65,2048,local_pauli_shadow,0.06410493242498033,0.005493442883227116,0.051398802345703126,0.17386712337402344,-0.0007282967041015118,0.0006729467531953217,2048,227.55555555555554
changed_q065,0.65,2048,native_all_z,0.014946046202535224,0.001985183730065213,0.012008363304492186,0.04031982190429687,-5.980915527338701e-05,0.00024318500693298856,2048,227.55555555555554
changed_q065,0.65,4096,local_pauli_shadow,0.04519164594586039,0.003627412419044588,0.03614284720983887,0.12409084464111328,-3.160900573725418e-05,0.00044435802133296204,4096,455.1111111111111
changed_q065,0.65,4096,native_all_z,0.01067429719901256,0.0014514085287805167,0.00856743031923828,0.028824441992187498,2.561145019581704e-06,0.00017779754477561328,4096,455.1111111111111
null_q035,0.35,64,local_pauli_shadow,0.36475570360024884,0.03361171541470205,0.29098610366406247,1.00784522796875,0.00513084941406257,0.004117435138301001,64,7.111111111111111
null_q035,0.35,64,native_all_z,0.08640211640824912,0.011067148938185105,0.06962827321875001,0.22924381562499999,2.770000000005102e-05,0.0013557257449276752,64,7.111111111111111
null_q035,0.35,128,local_pauli_shadow,0.2556402340811857,0.024465069426004994,0.20500350677890625,0.705195066484375,0.002700124316406308,0.002996971004685612,128,14.222222222222221
null_q035,0.35,128,native_all_z,0.06091849272052933,0.007621965661978036,0.048932896446875006,0.16295438484374997,-0.0007108253906249486,0.0009336907935923094,128,14.222222222222221
null_q035,0.35,256,local_pauli_shadow,0.18147712871934626,0.017958900489588002,0.1454209711121094,0.5009375481640626,-0.00022910541992182361,0.0021999653099745303,256,28.444444444444443
null_q035,0.35,256,native_all_z,0.04346371008729607,0.005552865573464872,0.034896142203125,0.11476945898437499,-0.00038123554687494887,0.0006802260327494467,256,28.444444444444443
null_q035,0.35,512,local_pauli_shadow,0.1283795829620093,0.010377389716284288,0.10282938069121095,0.34932363349609374,0.0006422477294922382,0.0012712302402448253,512,56.888888888888886
null_q035,0.35,512,native_all_z,0.030589564414999108,0.004083644866535782,0.024632056484374998,0.081381195390625,-0.00025519794921869917,0.0005002464961506334,512,56.888888888888886
null_q035,0.35,1024,local_pauli_shadow,0.0898218560874504,0.007273340797020626,0.07187638110146484,0.24587148510742188,0.0015942817260742703,0.0008909842476350267,1024,113.77777777777777
null_q035,0.35,1024,native_all_z,0.02148718232062567,0.0026008746757503524,0.017321057346484373,0.05770810728515624,-0.00020774311523432445,0.00031860714777941815,1024,113.77777777777777
null_q035,0.35,2048,local_pauli_shadow,0.06372305670774028,0.00586736166249884,0.05112616452626953,0.1741405251953125,0.0005045753051758326,0.0007187518036561079,2048,227.55555555555554
null_q035,0.35,2048,native_all_z,0.015225870192990548,0.0020047872276429926,0.012239771203320312,0.04115460361328125,7.904582519536297e-05,0.0002455864353862666,2048,227.55555555555554
null_q035,0.35,4096,local_pauli_shadow,0.045054024963907764,0.003693438411533272,0.03603784451230469,0.12262646327392579,0.00041668468017583217,0.0004524462054128258,4096,455.1111111111111
null_q035,0.35,4096,native_all_z,0.010737242276130028,0.0014033913472784813,0.008631443627441407,0.028624972192382813,4.097514648442545e-05,0.00017191544004161396,4096,455.1111111111111
