state,q,repetition,seed,copies,method,pair_observables,rmse,mae,mean_bias,maximum_absolute_error,mean_exact_expectation,mean_estimate
null_q035,0.35,0,550001,64,native_all_z,100,0.0896408898202511,0.07316565759999999,-0.012159799999999948,0.26092687999999997,0.7227848,0.710625
null_q035,0.35,0,550001,64,local_pauli_shadow,100,0.36792708123046114,0.29245745759999997,-0.10403479999999991,0.87030188,0.7227848,0.61875
null_q035,0.35,0,550001,128,native_all_z,100,0.06085110898961825,0.0496509224,-0.017159799999999947,0.19842687999999997,0.7227848,0.705625
null_q035,0.35,0,550001,128,local_pauli_shadow,100,0.2304951518259471,0.184413118,0.004246450000000051,0.6200447800000001,0.7227848,0.72703125
null_q035,0.35,0,550001,256,native_all_z,100,0.04003337771024823,0.031171224400000003,0.0009652000000000505,0.11248937999999997,0.7227848,0.72375
null_q035,0.35,0,550001,256,local_pauli_shadow,100,0.16797609239891892,0.1381566748,0.0007308250000000505,0.4794197800000001,0.7227848,0.723515625
null_q035,0.35,0,550001,512,native_all_z,100,0.03210164437402546,0.0260421578,0.004090200000000051,0.07707603000000007,0.7227848,0.726875
null_q035,0.35,0,550001,512,local_pauli_shadow,100,0.1414371012958808,0.11568625085,0.028680043750000054,0.36016687000000003,0.7227848,0.75146484375
null_q035,0.35,0,550001,1024,native_all_z,100,0.024453826588034244,0.019515824000000005,0.0034652000000000506,0.06731040500000007,0.7227848,0.72625
null_q035,0.35,0,550001,1024,local_pauli_shadow,100,0.09677492578428822,0.07876573042500001,0.026658559375000054,0.2860604050000001,0.7227848,0.749443359375
null_q035,0.35,0,550001,2048,native_all_z,100,0.019135623344791883,0.01571526855,0.00395348125000005,0.04864343250000003,0.7227848,0.72673828125
null_q035,0.35,0,550001,2048,local_pauli_shadow,100,0.06711692939192052,0.05227778853750001,0.006487660937500051,0.20256431125000007,0.7227848,0.7292724609375
null_q035,0.35,0,550001,4096,native_all_z,100,0.012858726746277922,0.010024952425000004,0.0027523093750000506,0.03278725124999993,0.7227848,0.725537109375
null_q035,0.35,0,550001,4096,local_pauli_shadow,100,0.047139173937095276,0.037642139925000005,0.00455406718750005,0.14543540500000007,0.7227848,0.7273388671875
null_q035,0.35,1,550002,64,native_all_z,100,0.07939438442211388,0.063269904,-0.009659799999999948,0.19842687999999997,0.7227848,0.713125
null_q035,0.35,1,550002,64,local_pauli_shadow,100,0.3938811049387447,0.318145568,0.01971520000000008,0.9716072800000001,0.7227848,0.7425
null_q035,0.35,1,550002,128,native_all_z,100,0.06799943549593922,0.05300450479999999,-0.017472299999999948,0.21589271999999993,0.7227848,0.7053125
null_q035,0.35,1,550002,128,local_pauli_shadow,100,0.2540059636042359,0.20361023799999997,0.011277700000000062,0.65936438,0.7227848,0.7340625
null_q035,0.35,1,550002,256,native_all_z,100,0.048506619905342815,0.03831676560000001,0.0015902000000000505,0.15339271999999993,0.7227848,0.724375
null_q035,0.35,1,550002,256,local_pauli_shadow,100,0.15369478498020078,0.1221513338,-0.0006754249999999496,0.46563562000000003,0.7227848,0.722109375
null_q035,0.35,1,550002,512,native_all_z,100,0.03723583772872782,0.029854034,0.0008870750000000505,0.10235437000000003,0.7227848,0.723671875
null_q035,0.35,1,550002,512,local_pauli_shadow,100,0.13566009214652588,0.10912502679999997,-0.018605112499999948,0.30780187999999997,0.7227848,0.7041796875
null_q035,0.35,1,550002,1024,native_all_z,100,0.024519302796008245,0.019087970800000003,0.0022933250000000504,0.06535728000000007,0.7227848,0.725078125
null_q035,0.35,1,550002,1024,local_pauli_shadow,100,0.08436523291288947,0.068286392,0.00477379375000005,0.24590905750000003,0.7227848,0.72755859375
null_q035,0.35,1,550002,2048,native_all_z,100,0.012858784038015504,0.010335099750000016,0.0038558250000000505,0.03313071750000007,0.7227848,0.726640625
null_q035,0.35,1,550002,2048,local_pauli_shadow,100,0.059281196595610444,0.04796888222500001,0.0032796531250000507,0.17120202625000003,0.7227848,0.726064453125
null_q035,0.35,1,550002,4096,native_all_z,100,0.007865811419671695,0.006588900575000003,0.0014534812500000506,0.022276245000000028,0.7227848,0.72423828125
null_q035,0.35,1,550002,4096,local_pauli_shadow,100,0.039878690742726076,0.03115930180625001,0.004312367968750051,0.14263757312500003,0.7227848,0.72709716796875
null_q035,0.35,2,550003,64,native_all_z,100,0.08159273789845761,0.06697468800000002,0.030340200000000053,0.19035728000000007,0.7227848,0.753125
null_q035,0.35,2,550003,64,local_pauli_shadow,100,0.3749255967975731,0.30009934359999996,-0.03231604999999992,0.87030188,0.7227848,0.69046875
null_q035,0.35,2,550003,128,native_all_z,100,0.06390076468843234,0.0506512936,0.013465200000000052,0.16901771999999993,0.7227848,0.73625
null_q035,0.35,2,550003,128,local_pauli_shadow,100,0.2731603447604381,0.21882363359999998,0.02955895000000007,0.6903572800000001,0.7227848,0.75234375
null_q035,0.35,2,550003,256,native_all_z,100,0.048531299400658964,0.03797471480000001,0.013777700000000052,0.10651771999999993,0.7227848,0.7365625
null_q035,0.35,2,550003,256,local_pauli_shadow,100,0.22260783884066904,0.17835133669999997,0.025691762500000066,0.5049552199999999,0.7227848,0.7484765625
null_q035,0.35,2,550003,512,native_all_z,100,0.032067370506542965,0.026188946600000023,0.013230825000000052,0.07526771999999993,0.7227848,0.736015625
null_q035,0.35,2,550003,512,local_pauli_shadow,100,0.14236781373103777,0.1153976013,0.00037926250000004934,0.3387947800000001,0.7227848,0.7231640625
null_q035,0.35,2,550003,1024,native_all_z,100,0.017632241122022753,0.014573620200000002,0.0014339500000000505,0.04766687000000003,0.7227848,0.72421875
null_q035,0.35,2,550003,1024,local_pauli_shadow,100,0.10207330993653145,0.08157913495000002,0.0007308250000000505,0.2772713425000001,0.7227848,0.723515625
null_q035,0.35,2,550003,2048,native_all_z,100,0.01082168664707556,0.008856345149999991,-0.0021988624999999496,0.03132240749999993,0.7227848,0.7205859375
null_q035,0.35,2,550003,2048,local_pauli_shadow,100,0.0679058176744611,0.05562132613750001,0.013782582812500053,0.17180259250000007,0.7227848,0.7365673828125
null_q035,0.35,2,550003,4096,native_all_z,100,0.011137923201717496,0.009101151099999993,-0.0013101906249999495,0.028505004999999972,0.7227848,0.721474609375
null_q035,0.35,2,550003,4096,local_pauli_shadow,100,0.04757387262099261,0.03834548061875001,0.011299672656250053,0.13824304187500003,0.7227848,0.73408447265625
null_q035,0.35,3,550004,64,native_all_z,100,0.0909165858233051,0.07440105440000001,0.03596520000000005,0.22967687999999997,0.7227848,0.75875
null_q035,0.35,3,550004,64,local_pauli_shadow,100,0.3921697629251475,0.3153127392,0.014090200000000058,1.1122322800000002,0.7227848,0.736875
null_q035,0.35,3,550004,128,native_all_z,100,0.05923562665547145,0.0473792656,-0.0049722999999999495,0.15339271999999993,0.7227848,0.7178125
null_q035,0.35,3,550004,128,local_pauli_shadow,100,0.24649549170817284,0.2011363594,-0.014737924999999947,0.6200447800000001,0.7227848,0.708046875
null_q035,0.35,3,550004,256,native_all_z,100,0.05169071483004853,0.042296888399999996,-0.00872229999999995,0.12030187999999997,0.7227848,0.7140625
null_q035,0.35,3,550004,256,local_pauli_shadow,100,0.16544507246798942,0.13367885129999998,-0.03266761249999995,0.43047937000000003,0.7227848,0.6901171875
null_q035,0.35,3,550004,512,native_all_z,100,0.02998032832308796,0.025302866599999998,0.0009652000000000505,0.08098228000000007,0.7227848,0.72375
null_q035,0.35,3,550004,512,local_pauli_shadow,100,0.1180145323079826,0.09873720585,0.0012581687500000504,0.2940177199999999,0.7227848,0.72404296875
null_q035,0.35,3,550004,1024,native_all_z,100,0.01724611106618025,0.013359375,-0.0013785499999999496,0.05573646999999993,0.7227848,0.72140625
null_q035,0.35,3,550004,1024,local_pauli_shadow,100,0.08526040912087955,0.0694372876,0.009871450000000052,0.21954187000000003,0.7227848,0.73265625
null_q035,0.35,3,550004,2048,native_all_z,100,0.010615679307098797,0.008332044649999995,-0.00014808124999994953,0.027416157499999927,0.7227848,0.72263671875
null_q035,0.35,3,550004,2048,local_pauli_shadow,100,0.05433136550578935,0.04404748013750002,0.010794301562500053,0.16241296375000003,0.7227848,0.7335791015625
null_q035,0.35,3,550004,4096,native_all_z,100,0.008649935710071657,0.007100950550000009,0.0019515281250000504,0.026551879999999972,0.7227848,0.724736328125
null_q035,0.35,3,550004,4096,local_pauli_shadow,100,0.039264145588071495,0.030479983762500006,0.0077620750000000505,0.10748132312500003,0.7227848,0.730546875
null_q035,0.35,4,550005,64,native_all_z,100,0.09381064213492198,0.07349896479999998,-0.03028479999999995,0.26092687999999997,0.7227848,0.6925
