regime,stream,alarm,alarm_time,delay,max_e_value
null,0,False,,,1.653665498195932
null,1,False,,,1.5278496074596843
null,2,False,,,1.0
null,3,False,,,1.0105262721966088
null,4,False,,,1.5173170700420902
null,5,False,,,1.0
null,6,False,,,1.1175968950962658
null,7,False,,,1.410250343157228
null,8,False,,,1.281951557585986
null,9,False,,,1.0
null,10,False,,,1.7126727083453481
null,11,False,,,1.5597902091302331
null,12,False,,,1.9401822473103494
null,13,False,,,1.0105262721966088
null,14,False,,,13.64711579278523
null,15,False,,,5.40603193747313
null,16,False,,,2.5851541330063843
null,17,False,,,1.5653040676673229
null,18,False,,,1.2339331697903742
null,19,False,,,1.0
null,20,False,,,2.0818298126341794
null,21,False,,,9.27450461230369
null,22,False,,,10.280402864596326
null,23,False,,,1.0651938884546899
null,24,False,,,9.267496558654598
null,25,False,,,1.0496464360671136
null,26,False,,,1.0521129176270003
null,27,False,,,1.5663253117409808
null,28,False,,,1.0
null,29,False,,,2.2201861723556235
null,30,False,,,1.0521129176270003
null,31,False,,,1.0332972606029416
null,32,False,,,1.0404501662139318
null,33,False,,,1.0
null,34,False,,,1.3824085751569082
null,35,False,,,1.0
null,36,False,,,1.423680416918668
null,37,False,,,1.1175968950962658
null,38,False,,,1.6423829073830634
null,39,False,,,3.229551514294617
null,40,False,,,1.2012307705139211
null,41,False,,,1.249929422948313
null,42,False,,,4.5925569034587985
null,43,False,,,1.888162976579249
null,44,False,,,1.114818703233265
null,45,False,,,1.1175968950962658
null,46,False,,,1.658145710282612
null,47,False,,,1.0
null,48,False,,,1.2927930641026535
null,49,False,,,1.0521129176270003
null,50,False,,,5.104868222185942
null,51,False,,,1.3413892822098987
null,52,False,,,3.762932108336439
null,53,False,,,1.037097368777943
null,54,False,,,1.622541356330524
null,55,False,,,10.238373606097953
null,56,False,,,1.0
null,57,True,106.0,,191.31232121706716
null,58,False,,,1.0
null,59,False,,,1.411102622303603
null,60,False,,,1.0105262721966088
null,61,False,,,1.1880069767549002
null,62,False,,,2.925768256407067
null,63,False,,,1.2966354785344325
null,64,False,,,1.7126727083453481
null,65,False,,,7.682679970966597
null,66,False,,,1.516728047236605
null,67,False,,,1.2561692034358949
null,68,False,,,1.757870882311401
null,69,False,,,2.511336851298229
null,70,False,,,1.1175968950962658
null,71,False,,,1.0950106091078728
null,72,False,,,1.3394014004932357
null,73,False,,,1.0521129176270003
null,74,False,,,7.562381686517536
null,75,False,,,1.407670535367185
null,76,False,,,1.545869713362985
null,77,False,,,1.1524354167902964
null,78,False,,,1.6920490175159417
null,79,False,,,1.6257964003017398
null,80,False,,,1.7643747721350018
null,81,False,,,1.038964063828716
null,82,False,,,1.0
null,83,False,,,7.6569815376141825
null,84,False,,,1.1175968950962658
null,85,False,,,1.2927930641026535
null,86,False,,,1.3252677483459976
null,87,False,,,1.3318253323123228
null,88,False,,,1.3975021766962679
null,89,False,,,1.0
null,90,False,,,1.0521129176270003
null,91,False,,,1.0
null,92,False,,,1.1175968950962658
null,93,False,,,1.1163250442913506
null,94,False,,,1.0
null,95,False,,,3.548569837558209
null,96,False,,,2.0767135678840036
null,97,False,,,1.0
null,98,False,,,9.172986105884874
null,99,False,,,3.169714411790496
null,100,False,,,1.0714927948946462
null,101,False,,,1.1175968950962658
null,102,False,,,1.3437896190340046
null,103,False,,,1.495076524590694
null,104,False,,,1.0
null,105,False,,,2.3162430664774205
null,106,False,,,1.800297133555472
null,107,False,,,2.073573194017435
null,108,False,,,4.173912071652768
null,109,False,,,1.0
null,110,False,,,1.1058958632298708
null,111,False,,,2.160760930884633
null,112,False,,,1.1490288616020556
null,113,False,,,2.972555716919988
null,114,False,,,2.346673293253472
null,115,False,,,2.7175571578475806
null,116,False,,,1.407670535367185
null,117,False,,,1.123400258950558
null,118,False,,,1.6869065638860916
null,119,False,,,1.1175968950962658
null,120,False,,,1.1175968950962658
null,121,False,,,3.284586456691182
null,122,False,,,1.1175968950962658
null,123,False,,,1.0
null,124,False,,,5.669822321565318
null,125,False,,,1.0
null,126,False,,,1.1880069767549002
null,127,False,,,1.9697825439637722
null,128,False,,,1.4184851265012282
null,129,False,,,9.37521195605924
null,130,False,,,1.545869713362985
null,131,False,,,1.8958665408816948
null,132,False,,,1.0521129176270003
null,133,False,,,1.1872740986026784
null,134,False,,,1.0
null,135,False,,,1.0
null,136,False,,,1.1175968950962658
null,137,False,,,1.0
null,138,False,,,1.9432301512340224
null,139,False,,,1.207757454600485
null,140,False,,,1.0521129176270003
null,141,False,,,1.8270391394895464
null,142,False,,,1.483423708389758
null,143,False,,,1.1175968950962658
null,144,False,,,1.7126727083453481
null,145,False,,,1.6782424677864651
null,146,False,,,1.3244958560180484
null,147,False,,,1.2912961143612536
null,148,False,,,2.1310336629016544
null,149,False,,,1.126181676717422
null,150,False,,,3.0426373330002634
null,151,False,,,1.0222645640926988
null,152,False,,,1.126181676717422
null,153,False,,,3.1663597693936567
null,154,False,,,1.1971314108427682
null,155,False,,,2.3377516813454102
null,156,False,,,1.2822051822607288
null,157,False,,,1.8192496774055849
null,158,False,,,1.3336228288434333
null,159,False,,,1.1058958632298708
null,160,False,,,1.295852553780149
null,161,False,,,1.938417846370848
null,162,False,,,1.6111246208724126
null,163,False,,,4.692814733224701
null,164,False,,,2.179913192973669
null,165,False,,,1.0
null,166,False,,,1.7126727083453481
null,167,False,,,1.0521129176270003
null,168,False,,,1.1880069767549002
null,169,False,,,1.2927930641026535
null,170,False,,,1.1971314108427682
null,171,False,,,1.0105262721966088
null,172,False,,,1.0
null,173,False,,,1.1858615639939287
