family,dimension,seed,prior_class_0,deca_success,oracle_success,absolute_gap,closed_form_error,deca_fit_seconds,sdp_fit_seconds
binary_random,2,0,0.5539444474734496,0.7823595893689799,0.7823595784527864,1.0916193504684202e-08,0.0,0.00040486000943928957,0.05156058899592608
binary_random,2,1,0.4614141951863652,0.9485323573366204,0.9485323491395158,8.197104661711307e-09,0.0,0.0011062660487368703,0.047659585950896144
binary_random,2,2,0.18229289976387922,0.8213611788527602,0.8213611626612953,1.6191464835557667e-08,2.220446049250313e-16,0.0005042830016463995,0.02157719200477004
binary_random,2,3,0.19236203790319978,0.8541798889877706,0.8541798864027818,2.584988889609008e-09,1.1102230246251565e-16,0.0002898098900914192,0.013843951979652047
binary_random,2,4,0.6294383085752802,0.8956477401107856,0.8956477372361524,2.8746331981466255e-09,1.1102230246251565e-16,0.00021574192214757204,0.045592081965878606
binary_random,2,5,0.7121763896340015,0.9235309097562656,0.923530899152712,1.0603553590726733e-08,2.220446049250313e-16,0.00018275203183293343,0.010331308003515005
binary_random,2,6,0.2729037613519104,0.8288832562591003,0.8288832546758829,1.5832174460328474e-09,0.0,0.0001737009733915329,0.009195266989991069
binary_random,2,7,0.2744083290749835,0.9385649391026825,0.9385649362086962,2.893986272844984e-09,2.220446049250313e-16,0.0001711210934445262,0.008944666013121605
binary_random,2,8,0.48631059107959784,0.8429994811493906,0.842999470841395,1.0307995568226147e-08,0.0,0.00016615597996860743,0.009011354995891452
binary_random,2,9,0.3684295407190013,0.8309946080551092,0.8309946031204372,4.934672004353047e-09,0.0,0.0001714599784463644,0.009006754029542208
binary_random,4,0,0.40142720145296074,0.8407314867375209,0.840731486467843,2.6967783561815395e-10,2.220446049250313e-16,0.00019275990780442953,0.009991619037464261
binary_random,4,1,0.6769038648539066,0.9003090222548189,0.9003090211462504,1.1085684592515577e-09,2.220446049250313e-16,0.0001824549399316311,0.009645498008467257
binary_random,4,2,0.4681486236472453,0.8163687234948716,0.8163687217215496,1.7733219337401351e-09,2.220446049250313e-16,0.0001712200464680791,0.009563205996528268
binary_random,4,3,0.4231646152521211,0.931514425079842,0.9315144226979862,2.381855712663139e-09,4.440892098500626e-16,0.00017295300494879484,0.010639355052262545
binary_random,4,4,0.29844921584107575,0.8171230411476662,0.8171230368102385,4.337427750300549e-09,4.440892098500626e-16,0.00018038798589259386,0.01011466805357486
binary_random,4,5,0.38890105376833106,0.8087653828970176,0.8087653725203227,1.0376694947744625e-08,2.220446049250313e-16,0.0001881869975477457,0.010891607031226158
binary_random,4,6,0.1838346119061267,0.9097159880592097,0.9097159878161606,2.4304913637251957e-10,1.1102230246251565e-16,0.0002014049096032977,0.010309823090210557
binary_random,4,7,0.5557847539815822,0.7983453204391696,0.7983453194704913,9.686783597473436e-10,0.0,0.00018192396964877844,0.00999872398097068
binary_random,4,8,0.40486301732515617,0.8122933988915058,0.8122933975206523,1.3708534307710352e-09,3.3306690738754696e-16,0.00020801404025405645,0.01081722299568355
binary_random,4,9,0.5442630988415654,0.9006045878711477,0.9006045868589589,1.0121887772385207e-09,4.440892098500626e-16,0.00018975394777953625,0.010530247003771365
binary_random,8,0,0.5204973102832329,0.8471344780206629,0.8471344691786586,8.842004239895118e-09,8.881784197001252e-16,0.00021327997092157602,0.025319924112409353
binary_random,8,1,0.5996997619725638,0.7851070820496358,0.7851070813474303,7.022054049343751e-10,4.440892098500626e-16,0.0002759509952738881,0.020150120952166617
binary_random,8,2,0.8069722634190643,0.880906583628762,0.880906583060212,5.685499848695486e-10,0.0,0.00020749203395098448,0.022143197944387794
binary_random,8,3,0.439772049402948,0.7682611763576135,0.7682611758817403,4.758732297105439e-10,0.0,0.0002925129374489188,0.020460347994230688
binary_random,8,4,0.23325687831454778,0.8398025846224882,0.8398025648429274,1.9779560878063762e-08,3.3306690738754696e-16,0.00020823196973651648,0.021051837946288288
binary_random,8,5,0.3907268933781605,0.7996448679049016,0.7996448674280604,4.768412331657146e-10,0.0,0.00022573897149413824,0.021483319927938282
binary_random,8,6,0.3037162116332036,0.833217985692831,0.8332179853469479,3.4588309993921484e-10,2.220446049250313e-16,0.0002973428927361965,0.022132735000923276
binary_random,8,7,0.4334266790664618,0.7622537122187105,0.7622537118030968,4.1561376562526675e-10,0.0,0.0002190719824284315,0.02471089002210647
binary_random,8,8,0.6948931518820873,0.8425646167894578,0.8425646162732925,5.161653326979376e-10,2.220446049250313e-16,0.0003977610031142831,0.030261298990808427
binary_random,8,9,0.8310068839590437,0.880480137534917,0.8804801213266942,1.6208222874958267e-08,3.3306690738754696e-16,0.00043027603533118963,0.028781877947039902
