family,dimension,seed,commutator,offdiagonal_residual,deca_success,oracle_success,absolute_gap,gap_bound
commuting_multiclass,4,0,4.791695254024021e-18,1.257982587813644e-16,0.7191929060727165,0.7191929020836306,3.9890858394286965e-09,2.515965175627288e-16
commuting_multiclass,4,1,6.171608305186972e-18,1.2633499898225136e-16,0.7363030811504712,0.7363030736707855,7.479685648625889e-09,2.526699979645027e-16
commuting_multiclass,4,2,1.1430309386060991e-17,2.3837630831360453e-16,0.7563120590498831,0.756312050796883,8.253000061131388e-09,4.767526166272091e-16
commuting_multiclass,4,3,4.682393229189409e-18,1.2970004101551825e-16,0.608159462497745,0.6081594622809912,2.1675383710118012e-10,2.594000820310365e-16
commuting_multiclass,4,4,7.802628807201102e-18,1.6797010664050286e-16,0.6929858157947284,0.692985809870948,5.923780355132635e-09,3.3594021328100573e-16
commuting_multiclass,4,5,5.531888589961882e-18,0.15436557665364795,0.7158646653748422,0.7158646650191319,3.557102390416844e-10,0.3087311533072959
commuting_multiclass,4,6,7.59845568102396e-18,2.102635877017045e-16,0.5716081995570474,0.5716081850828281,1.447421937861293e-08,4.20527175403409e-16
commuting_multiclass,4,7,6.454418625495395e-18,1.243307616333198e-16,0.6297943222292872,0.6297943166939696,5.535317648686089e-09,2.486615232666396e-16
commuting_multiclass,8,0,5.275065773793619e-18,1.7790394259719868e-16,0.5077997019369214,0.5077996987936173,3.1433040614814445e-09,5.03188336841206e-16
commuting_multiclass,8,1,6.374178497920624e-18,3.0252091978066853e-16,0.7231310046662089,0.7231310004392942,4.226914707139429e-09,8.556583753108092e-16
commuting_multiclass,8,2,1.301043599327173e-18,4.740922002950545e-16,0.8993912400408657,0.8993912373829719,2.6578937939447655e-09,1.340935238945136e-15
commuting_multiclass,8,3,8.579070321481471e-18,1.7052307247875252e-16,0.7411197230207154,0.741119720385069,2.6356463678212094e-09,4.823120835939642e-16
commuting_multiclass,8,4,5.560574964286593e-18,1.6428420787785928e-16,0.6151368357598975,0.6151368241221014,1.1637796171193315e-08,4.64665909729179e-16
commuting_multiclass,8,5,6.852102741751789e-18,3.6654800839087016e-16,0.7221589558854872,0.7221589522733411,3.6121460267324323e-09,1.0367543294544312e-15
commuting_multiclass,8,6,3.4605292439258413e-18,5.33302100366359e-16,0.6942324749027595,0.6942324733820395,1.5207199943745309e-09,1.5084061263603249e-15
commuting_multiclass,8,7,5.891414568686222e-18,2.901996845387564e-16,0.6486314717583446,0.6486314660196764,5.738668207300179e-09,8.208086593422062e-16
